titulo,empresa,ubicacion,url,id,fecha,descripcion,fecha_publicacion
"Learning Data Analyst Junior
Learning Data Analyst Junior with verification",Grupo Planeta,"Barcelona, Cataluña, España (Presencial)",https://www.linkedin.com/jobs/view/4376760003/,4376760003,,"Acerca del empleo
Grupo Planeta

Somos el primer grupo editorial y de comunicación español, de capital familiar, que lidera una amplia oferta al servicio de la cultura, la formación, la información y el entretenimiento audiovisual, con presencia en más de 20 países, conectando con 25 millones de personas cada día. Todos los profesionales y empresas del Grupo Planeta compartimos unos principios que tienen como base las personas, la ética, la calidad y la excelencia en el trabajo.

¡Te invitamos a conocernos!

Descripción de la oferta

En Grupo Planeta nos encontramos en la búsqueda de una persona para formar parte de una de nuestras instituciones educativas, EAE Barcelona como Data Analyst Junior.

¿En qué consistirá tu día a día?

Contribuir a la estructuración, organización y mantenimiento del entorno de datos de learning analytics.
Mantener y actualizar los dashboards e informes existentes en Power BI.
Diseñar y desarrollar nuevos dashboards e informes para dar respuesta a necesidades específicas de análisis.
Optimizar los modelos de datos para mejorar el rendimiento y la usabilidad de los informes.
Realizar consultas y análisis puntuales para dar soporte a equipos académicos.
Identificar tendencias, patrones y oportunidades de mejora en los procesos de aprendizaje y enseñanza.
Traducir los datos en insights claros y comprensibles para usuarios no técnicos.
Contribuir a la definición de indicadores clave relacionados con la experiencia y el rendimiento de aprendizaje.

Requisitos

¿Qué nos gustaría ver en tu CV?

Grado en Data Analytics, Estadística, Ingeniería, Matemáticas, Informática, Economía, ADE o áreas afines.
Valorable formación específica en análisis de datos, business intelligence o data analytics.
Se valorará experiencia previa (prácticas o primeros años profesionales) en análisis de datos o business intelligence.
Se valorará experiencia en entornos educativos o proyectos de analítica aplicada.

A Nivel Técnico

Imprescindible: nivel avanzado de Power BI .
Conocimiento intermedio de Power Query / M, modelado de datos (relaciones, medidas, DAX), Microsoft Excel, Microsoft Fabric y SQL.
Conocimientos de Python (pandas, numpy).
Conocimientos de Google Analytics y analítica web.
Conocimiento de conexión y uso de APIs (JSON).

Encajarías con nosotros/as si te consideras una persona...

Con capacidad analítica y pensamiento estructurado.
Atenta al detalle y orientada a la calidad del dato.
Con capacidad para transformar datos en información comprensible.
Con capacidad de trabajo en equipo y colaboración transversal.

¿Qué ofrecemos?

Contrato estable: Indefinido y a jornada completa.
Descuentos y promociones exclusivas para nuestros empleados (masters y posgrados, sellos editoriales, coleccionables, Casa del Libro...).
Un atractivo paquete de beneficios sociales a través del plan de retribución flexible que incluye: tarjeta transporte, tarjeta restaurante, cheque guardería, seguro médico, etc.

Si crees que es tu oportunidad laboral, ¡Te animamos a inscribirte y formar parte de nuestro equipo!

En Grupo Planeta ofrecemos igualdad de oportunidades. Nos comprometemos a tratar todas las candidaturas por igual en función de sus capacidades, logros y experiencia independientemente de su raza, nacionalidad, sexo, edad, discapacidad, orientación sexual, identidad de género o cualquier otra clasificación protegida por la ley.",
"Data Analyst
Data Analyst with verification",DABA (Nespresso exclusive distributor),"Sant Cugat del Vallès, Cataluña, España (Híbrido)",https://www.linkedin.com/jobs/view/4375192832/,4375192832,,"Acerca del empleo
¿Quieres formar parte del futuro de DABA como Data Analyst? 
Formarás parte del equipo de analistas que se encarga de aportar conocimiento sobre el comportamiento de cliente y de negocio a través de los datos en el que basar la toma de decisiones.


¿Cuáles serán tus retos?
Generarás insights que ayuden maximizar el lifetime value del cliente.
Analizarás e identificarás patrones de consumo por tipología de cliente.
Analizarás la evolución de los KPIs de cliente y explicarás los factores clave subyacentes para permitir adaptar el plan de acción de la forma más eficiente.
Realizarás análisis descriptivos, predictivos, prescriptivos, prospectivos. Apoyándote en herramientas de IA cuando sea necesario.
Pondrás en práctica tus habilidades analíticas en un entorno en el que se valora la iniciativa y se anima a aportar ideas y perspectivas propias.


¿Qué nos hace diferentes?
Proyecto estable con contrato indefinido.
Flexibilidad y autogestión horaria.
Jornada intensiva todos los viernes del año y en verano.
Oportunidad de liderar tu propio desarrollo profesional. En 2025, el 25% de las vacantes se cubrieron con talento interno.
Sistema híbrido de trabajo: presencial y home office. Cuando vengas a la oficina, tendrás acceso a instalaciones deportivas (gimnasio, sauna, pista de pádel y piscina).
Sistema de retribución variable asociado a objetivos.
Retribución flexible con posibilidad de destinar salario para la compra de tickets restaurante, ticket transporte, seguro médico, formación, compra de equipos electrónicos, etc.
Servicio de expertos en bienestar, coaching, psicología y nutrición con la misión de cuidar de tu bienestar y acompañarte en los momentos clave de tu vida.
Plan de formación técnica y de habilidades según necesidades.
Oportunidad de liderar tu propio desarrollo profesional.
Un ambiente de trabajo socialmente responsable y comprometido con la diversidad, por lo que damos la bienvenida a todas aquellas candidaturas, independientemente de su edad, género o expresión de género, orientación o identidad sexual, discapacidad (se requerirá certificado) o creencias religiosas.
Y en nuestras oficinas, ¡nunca te faltará café y fruta!


Es tu momento si…
Has estudiado una Licenciatura o Grado en Ingeniería, Economía, Matemáticas, Estadística o Investigación y Técnicas de Mercado.
Tienes al menos 2 años de experiencia realizando análisis descriptivos y predictivos de comportamiento de cliente y negocio.
Quieres aportar tu visión analítica y capacidad de obtener insights a partir de tus análisis.
Tienes facilidad para sintetizar y comunicar de forma efectiva los resultados de dichos análisis.
Has trabajado con herramientas de dashboarding o visual analytics (ej Power BI, Microstrategy, Tableau o Looker Studio)
Dominas Microsoft Excel y SQL. Conocimientos en R o Python deseables.",
"Map & Location Data Analyst
Map & Location Data Analyst",Alignerr,España (En remoto),https://www.linkedin.com/jobs/view/4382358408/,4382358408,,"Acerca del empleo
About The Role

We're looking for Map & Location Data Analysts to verify and improve AI-generated location, address, and geographic data. Your local knowledge is a valuable asset in this role.

 Organization: Alignerr
 Type: Hourly Contract
 Compensation: $40–$120 /hour
 Location: Remote
 Commitment: 10–40 hours/week

What You'll Do

 Verify AI-generated addresses, place names, and geographic data
 Evaluate the accuracy of location-based search results and recommendations
 Flag incorrect or outdated location information
 Provide local context and corrections based on your regional knowledge
 Work through structured tasks using maps and location tools

Who You Are

 Familiarity with your local area — streets, landmarks, and businesses
 Attention to detail and ability to spot errors in location data
 Comfortable using maps and web-based tools
 Clear written communication
 No GIS or geography experience required

Why Join Us

 Competitive pay and flexible remote work
 Work on cutting-edge AI projects with top research labs
 Freelance perks: autonomy, flexibility, and global collaboration
 Potential for ongoing work and contract extension

Application Process (Takes 10–15 min)

 Submit your resume
 Complete a short screening
 Project matching and onboarding

PS: Our team reviews applications daily. Please complete your application steps to be considered for this opportunity.",
"Data Analyst
Data Analyst",Balance,España (En remoto),https://www.linkedin.com/jobs/view/4378310683/,4378310683,,"Acerca del empleo
Who We Are
At Balance (findbalance.app), we're building the clinical operating system for obesity treatment — combining medical rigor, AI intelligence, and multidisciplinary care teams to deliver personalized treatment at scale. 
In Spain alone, 200,000 people on GLP-1 medications today will grow to 1.2 million by 2030, most without access to proper clinical support. We're fixing that. We've proven it works and now we've raised Series Seed. Join us if you're obsessed with outcomes, not vanity metrics — and ready to help thousands of patients actually get better.

Why now
We are looking for our first Data Analyst to help us unlock the value of the data we generate every day. This is a unique opportunity to build the role from scratch, define best practices, and work closely with our teams to provide insights that guide product and business decisions.
Balance is a proud equal opportunity employer. We seek diversity and are committed to building and preserving an inclusive environment for all employees.
 What will you do
You will do what it takes to move the needle. Among all the things…
Collect, explore, and analyze business and product data
Translate raw data into clear insights and actionable recommendations
Design and maintain dashboards and reports for different stakeholders
Collaborate with internal users (product, marketing, customer success, etc.) to understand their needs and provide tailored data solutions
Ensure accuracy, consistency, and clarity in data reporting
Research and propose new tools and methodologies for data analysis and visualization
Present findings to both technical and non-technical audiences

You have to
Proven experience as a Data Analyst or similar role
Strong skills in data analysis, visualization, and storytelling
Experience building dashboards with tools such as Looker, Tableau, Power BI, or similar
Good knowledge of SQL for querying data
Ability to work with large datasets and generate clear insights
Excellent problem-solving, communication, and presentation skills
Proactive mindset, autonomy, and attention to detail
Proficient technical English

You must
Work authorization in the EU (No visa sponsorship)
Willingness to work from Madrid HQ with hybrid flexibility or remote positions along Spain timezone
Other information
Competitive salary based on experience, career roadmap Modern technologies and agile methodologies
Research & Development initiatives promotion
Real impact on our clients
New projects with lots of innovation, challenges & new technologies
Weekly time for individual researching, learning and innovating",
"Junior Data Analyst
Junior Data Analyst",Evolve,España (En remoto),https://www.linkedin.com/jobs/view/4381451949/,4381451949,,"Acerca del empleo
Descripción de la oferta
En nuestro Programa Talento Joven buscamos personas recién tituladas en Formación Profesional de informática, análisis de datos o programación, con interés en adquirir experiencia y conocimientos prácticos en el campo del Data Science.



Funciones:
Participar en un programa formativo de 30 semanas enfocado en habilidades técnicas y prácticas de análisis de datos.
Trabajar sobre proyectos reales y simulaciones del entorno empresarial, incluyendo retos de predicción, análisis exploratorio y visualización de datos.
Colaborar y aprender directamente de profesionales en activo que te acompañarán durante tu evolución.
Practicar con herramientas como Python, SQL, Pandas, Power BI, Jupyter Notebooks y Scikit-learn.
Aplicar procedimientos y buenas prácticas de análisis en entornos controlados de laboratorio.


Lo que ofrecemos:
Plan formativo diseñado y actualizado según las necesidades reales del mercado laboral en data.
Formación práctica, en grupo reducido, orientada al trabajo que se realiza en equipos de data science.
Mentoring personalizado con especialistas del sector.
Posibilidad real de entrevista para ofertas de empleo al finalizar el programa en empresas colaboradoras.
Red de contacto con profesionales y exalumnos del programa.


Requisitos:
Ciclo Formativo de Grado Medio o Superior relacionado con informática, análisis de datos o programación.
Interés por el análisis de datos y motivación para afrontar retos prácticos.
Capacidad para trabajar en equipo, comunicarte y aprender en un entorno técnico.


Tipo de puesto: Formativo/Prácticas
Ubicación: Modalidad híbrida (presencial y online) según disponibilidad.
Duración: 30 semanas.
Incorporación: Abril 2026.",
"Consultor/a BI
Consultor/a BI with verification",Deloitte,"Barcelona, Cataluña, España (Híbrido)",https://www.linkedin.com/jobs/view/4353281211/,4353281211,,"Acerca del empleo
¿Seguimos caminando juntos?

 ¿Cuál es el reto? 

Nuestro equipo de Business Intelligence se encarga del análisis de datos históricos y actuales para presentar conclusiones en formatos visuales intuitivos, a través de Power BI. Utilizamos lenguajes de programación como Python y SQL.

 Requisitos: 

Al menos 2 años de experiencia trabajando con herramientas BI.
Experiencia programando en Python y SQL. 
Nivel intermedio de inglés.
Valorable conocimientos de Azure, AWS, o Google Cloud.

¿Qué te ofrecemos?

 Contarás con un modelo de trabajo híbrido-flexible 
 Podrás optar a un sistema de retribución flexible, servicio médico, seguro de salud, seguro de vida y accidente 
 Contarás con un plan de formación a lo largo de tu trayectoria profesional 
 Te desarrollarás en una cultura de feedback donde fomentar tu aprendizaje continuo 
 Participarás si te interesa en programas de acción social y voluntariado de alcance nacional e internacional 
 Disfrutarás de una oferta cultural y deportiva 

¡Ahora la decisión es tuya! Si crees que este puesto está hecho para ti, haz clic en ‘Solicitar’ y completa tu perfil para que podamos valorar tu solicitud. Si encajas en el perfil, nuestro equipo de captación se pondrá en contacto contigo para conocerte.

A partir de ahí te iremos guiando por nuestro proceso de selección y comenzará tu historia en Deloitte.

 What impact will you make?",
"Junior AI & Data Scientist
Junior AI & Data Scientist",Joinrs,España (En remoto),https://www.linkedin.com/jobs/view/4379911043/,4379911043,,"Acerca del empleo
Nuestro objetivo es ayudar a todos los recién graduados del mundo a encontrar el trabajo que más se ajuste a sus ambiciones: ¡únete a nosotros para hacer realidad las aspiraciones de una comunidad de más de 1,500,000 usuarios!

Observamos constantemente los recursos de los estudiantes y egresados que aspiran a incorporarse a nuestro equipo de Tecnología: los candidatos para este puesto y nuestro equipo de RRHH se pondrán en contacto contigo sin comunicar puesto y tu CV será el adecuado a tu perfil.

Para estos puestos de técnico júnior, ofrecemos un contrato de prácticas (1000 € al mes). Puedes trabajar en nuestra oficina de Madrid o en remoto, y te proporcionaremos un MacBook de última generación en todo momento.

¡Nos vamos a España! Si quieres sumarte a crecer en tu país, envía tu CV para este anuncio: si tu perfil está en alguno de nuestros futuros puestos, nos pondremos en contacto contigo ;)
 --

Dentro del equipo de Tecnología podrás abordar diversas tareas como:
Implementación de algoritmos de Machine Learning: tendrá la oportunidad de implementar y probar algoritmos de aprendizaje automático, ayudando a desarrollar soluciones inteligentes a los desafíos comerciales. En particular, junto con nuestro equipo tecnológico, trabajarás en Joinrs AI: nuestro modelo de Inteligencia Artificial que ayuda a nuestra comunidad a encontrar trabajo;
Análisis y modelado de datos: participará en el análisis de datos, desarrollará modelos predictivos y ayudará a proporcionar información significativa para mejorar las decisiones comerciales.
Visualización de datos: aprenderá a crear visualizaciones de datos claras e informativas para comunicar de manera efectiva hallazgos complejos a diferentes partes interesadas. En particular, creará paneles interactivos para mostrar mejor los datos y KPI (visualización de datos) al equipo, los clientes, los inversores y todas las partes interesadas clave;
Optimización de Procesos de Negocio: Colaborarás en la identificación y optimización de procesos de negocio mediante la aplicación de soluciones basadas en datos.
Participación en Sesiones de Brainstorming Tecnológico: Participarás en sesiones de Brainstorming para generar ideas innovadoras y contribuirás a la identificación de nuevas oportunidades en el campo de la Inteligencia Artificial.
Formación Continua y Actualización en las Últimas Tendencias: Tendrás acceso a programas de formación continua para mantenerte actualizado sobre las últimas tendencias y avances en el campo de la Ciencia de Datos y la Inteligencia Artificial.
 --

Lo que te ofrecemos 
Trabajar en el equipo de Joinrs significa poder elegir siempre las mejores condiciones psicofísicas para estar sereno y productivo. Esto se traduce en:
Trabajo remoto y flexibilidad. Tendrás la oportunidad de trabajar completamente a distancia todo el tiempo que desees, pero también apoyarte en una de nuestras oficinas.
Ambiente de trabajo dinámico. Nuestras oficinas siempre están abiertas. Te garantizamos espacios de trabajo compartidos, salas de reuniones, áreas de descanso y un bar con frutas frescas y aperitivos de todo tipo. También encontrarás una mesa de billar y una estación de juegos. Queremos un ambiente de trabajo informal que fomente momentos de compartir, siempre respetando las actividades individuales.
Team building y diversión. Organizamos a menudo aperitivos, juegos y momentos de recreo: son parte integral de la vida en Joinrs, tanto fuera como dentro de la oficina.
Bienestar empresarial. Te garantizamos un bienestar empresarial privado a la altura de tus expectativas.
Paquete tecnológico. Utilizarás software avanzado y tecnologías modernas, y se te proporcionará un MacBook de última generación.
Formación. Siempre contarás con un tutor en tu trayectoria en Joinrs: tendrás un punto de referencia tanto para los aspectos técnicos como para los del equipo. Te aseguramos un crecimiento profesional constante que se traducirá en un aumento progresivo de tus responsabilidades. Podrás participar en eventos del sector y cursos de formación, además de recibir formación continua en las mejores plataformas de aprendizaje en línea.
Impacto social. Tu contribución apoyará a miles de recién graduados a encontrar el trabajo al que aspiran: tendrás la oportunidad de interactuar con nuestra comunidad y descubrir el impacto social y la revolución que estamos llevando más allá de las fronteras italianas.
 --

Quiénes somos
Nuestra misión es apoyar a cada recién graduado a lograr sus aspiraciones, permitiéndole comenzar su nueva carrera con el optimismo de una perspectiva clara. 

Somos un equipo unido que cree firmemente en el trabajo en equipo: juntos trabajamos, discutimos y obtenemos resultados que nos estimulan a alcanzar objetivos cada vez más ambiciosos. 

Nuestra comunidad cuenta con más de 1,500,000 miembros en Italia, Reino Unido, España, Brasil, Francia, Portugal y Alemania, incluyendo 300 empresas como PwC, Accenture, Gi Group, Danone, Siemens, y está creciendo de manera exponencial: ¡únete a nosotros!
--
 Proceso de selección:
1. Revisión del CV: el primer paso es una revisión del currículum (generalmente dentro de los 20 días posteriores a la solicitud).
2. Entrevista telefónica: el segundo paso incluirá una entrevista telefónica con nuestro Gerente de Recursos Humanos de aproximadamente 15 minutos.
3. Entrevista por video: el último paso será una entrevista por video con tanto el Gerente de Recursos Humanos como tu futuro supervisor. Prevemos al menos 45 minutos de entrevista.
--

¿Por qué unirte a nuestro equipo?
Impacto social: tendrás la oportunidad de apoyar a nuestra comunidad para que logren sus aspiraciones. Y las tuyas.
Startup exitosa: Joinrs fue seleccionada entre las 10 mejores startups del mundo en la Web Summit de Lisboa.
Crecimiento personal exponencial: tendrás la oportunidad de crecer de manera exponencial, tanto en habilidades técnicas como en habilidades blandas, gracias a un programa de formación basado en la capacitación en el trabajo y el apoyo en línea.",
"Consultor Power BI - Business Intelligence
Consultor Power BI - Business Intelligence with verification",Between Technology,"Martorell, Cataluña, España (Presencial)",https://www.linkedin.com/jobs/view/4377694196/,4377694196,,"Acerca del empleo
Descripción

En BETWEEEN, seleccionamos un/a Consultor/a Big Data – Data Analytics (Power BI) para incorporarse a uno de nuestros equipos, con foco en el desarrollo, mantenimiento y optimización de soluciones de Business Intelligence. La misión principal será transformar datos en valor y proporcionar insights claros, visuales y accionables a equipos de Producto, Ingeniería, Operaciones y otras áreas corporativas, acelerando la toma de decisiones con información precisa y basada en evidencia.
La persona seleccionada trabajará colaborativamente con Data Engineers, Data Managers y equipos cross-funcionales, asegurando modelos de datos robustos, gobernanza y calidad, y una experiencia de reporting consistente y escalable en Power BI Desktop y Power BI Service.

¿Qué haré? Esta será tu función principal:

Diseñar, desarrollar y desplegar dashboards y reports en Power BI alineados con necesidades de negocio.
Construir y mantener modelos de datos eficientes (star schema, tablas de hechos/dimensiones, relaciones, medidas) siguiendo buenas prácticas de arquitectura.
Preparar, limpiar y transformar datos con Power Query (M) y DAX, optimizando rendimiento (calculated columns vs. measures, aggregations, incremental refresh, composite models).
Analizar, interpretar y visualizar información para generar insights accionables y narrativas de datos comprensibles para audiencias técnicas y no técnicas.
Asegurar la calidad y consistencia de datos entre fuentes, datasets y reportes (data lineage, reconciliaciones, validaciones).
Trabajar con equipos de negocio para levantar requisitos, definir alcance y traducir necesidades en soluciones BI escalables.
Mantener y mejorar activos existentes (dashboards, datasets, data products) incorporando feedback y métricas de uso.
Aplicar buenas prácticas de gobernanza, seguridad y estandarización (roles, RLS/OLS, certificación de datasets, naming conventions).
Documentar procesos, modelos, datasets y reportes (diccionario de datos, KPIs, orígenes, supuestos).
Colaborar con Data Engineers y Data Managers en la ingesta y modelado semántico, y con equipos cross-funcionales en la adopción de BI.

Condiciones del puesto
Modalidad: Presencial.
Contrato: Indefinido.
Salario: 21.000 – 29.000 € brutos anuales.

Además, trabajando para BETWEEN obtendrás los siguientes beneficios añadidos:
Posibilidad de formar parte de una empresa en pleno crecimiento a nivel nacional e internacional. Tendrás seguro médico 100% gratuito
Un buen lugar donde trabajar: cuidamos de nuestro equipo y la sociedad a través de iniciativas, programas de conciliación y de responsabilidad social corporativa.
Te integrarás en un equipo de alto rendimiento y con un alto grado de especialización.
Dispondrás de oportunidades de formación y desarrollo profesional.
Pondremos a tu disposición un amplio abanico de retos y proyectos acordes con tus objetivos personales y profesionales.
Posibilidad de elegir cómo obtener parte de tu salario gracias a las ventajas fiscales de nuestra Retribución Flexible, y descuentos para acceder a centros de fitness, entre otros.


Requisitos

Formación:
Grado en Ingeniería, Data Science, Matemáticas, Economía, Informática o áreas afines.

Experiencia:
+2 años de experiencia desarrollando con Power BI Desktop / Service.
Dominio de DAX, Power Query (M) y modelado de datos.
Conocimientos sólidos de SQL (consultas, joins, CTEs, performance básico).
Manejo avanzado de Excel (tablas dinámicas, Power Pivot/Query, fórmulas avanzadas).
Entendimiento de Data Lifecycle, Data Governance y arquitectura de datos (lineage, seguridad, calidad, documentación).

Herramientas valorables:
Power BI Desktop y Service, DAX, Power Query (M), SQL, Excel.
Valorable: Microsoft Fabric / Databricks, Power Automate, Python o R, QlikView, APIs/embedding de Power BI.

Valorable:
Experiencia con Microsoft Fabric (Lakehouse, OneLake) o Databricks.
Automatización de flujos con Power Automate (programación de refrescos, notificaciones).
Conocimiento de Python o R para análisis avanzado y preparación de datos.
Experiencia con QlikView (migraciones o convivencia de herramientas).
Integración de Power BI en otras aplicaciones (APIs, embedding, Row-Level Security avanzado).
Prácticas de DataOps/BI Ops (versionado PBIX/PBIP, ALM Toolkit, Tabular Editor).

En BETWEEN, la igualdad de oportunidades es uno de nuestros valores. Nuestro compromiso es contratar al mejor talento independientemente de su raza, religión, sexo, edad y personas con otras capacidades y promover su desarrollo profesional y personal.",
"Analista y gestor/a de datos (Barcelona) (f,m,d)
Analista y gestor/a de datos (Barcelona) (f,m,d) with verification",TÜV SÜD en España y Portugal,"Barcelona, Cataluña, España (Híbrido)",https://www.linkedin.com/jobs/view/4375169443/,4375169443,,"Acerca del empleo
TÜV SÜD: un líder mundial en el campo de las pruebas, la inspección, la certificación del sistema de gestión y la certificación de productos reconocidos por la calidad, la integridad y la excelencia técnica.

Establecido hace más de 150 años en Alemania, TÜV SÜD es un proveedor global líder de servicios técnicos con más de 28,000 empleados altamente calificados en 1,000 oficinas en todo el mundo. TÜV SÜD ofrece una amplia gama de pruebas y certificación de productos, inspección, auditoría y certificación del sistema, capacitación y servicios de conocimiento. Somos un proveedor de soluciones de calidad, seguridad y sostenibilidad premium.

TÜV SÜD: un líder mundial en el campo de las pruebas, la inspección, la certificación del sistema de gestión y la certificación de productos reconocidos por la calidad, la integridad y la excelencia técnica.

Establecido hace más de 150 años en Alemania, TÜV SÜD es un proveedor global líder de servicios técnicos con más de 28,000 empleados altamente calificados en 1,000 oficinas en todo el mundo. TÜV SÜD ofrece una amplia gama de pruebas y certificación de productos, inspección, auditoría y certificación del sistema, capacitación y servicios de conocimiento. Somos un proveedor de soluciones de calidad, seguridad y sostenibilidad premium.

Buscamos

Para esta posición requerimos un perfil con conocimiento de herramientas de Business Inteligence Power-bi, Tableau, para incorporación en un programa de Postventa en importante empresa de automoción ubicada en Barcelona, con experiencia demostrable en estas herramientas, tratamiento de datos y creación de #dashboards. Asumirá la responsabilidad de la preparación de informes, seguimiento del avance del proyecto, medición de KPIs, reporte directo a la marca, apoyo en la planificación del equipo y proyecto, etc.

Requisitos

 Licenciatura, Ingeniería, F.P. Grado superior o equivalente
 Formación relacionada con la posición
 Conocimientos demostrables de herramientas de gestión y análisis de datos como Power-BI
 Nivel alto del paquete Office Sobre todo excel.
 Capacidad de organización y análisis.
 Nivel medio de inglés.

¿Qué ofrecemos?

 Puesto estable. Contrato indefinido.
 Jornada completa de Lunes a Viernes. 40 horas semanales.
 Modalidad híbrida de trabajo según acuerdo con el responsable del proyecto y el cliente.
 Horario: L J: 8.30 a 18.00 - V:8.30 a 15.00 Hs.
 Salario a negociar en función de la experiencia aportada.
 La posibilidad de trabajar en una empresa multinacional de gran proyección internacional.

Información Adicional

¿Por qué trabajar con nosotros?

 Porque somos una empresa de gran proyección a nivel nacional e internacional.
 Con posibilidades de participar en proyectos relevantes.
 Te ofrecemos formación en diferentes campos.
 Una multinacional con oportunidades de promoción interna.
 Y te garantizamos tu desarrollo profesional en un gran ambiente de trabajo.

Probamos, auditamos, inspeccionamos, recomendamos. Nunca dejamos de desafiarnos por la seguridad de la sociedad y su gente. Respiramos la tecnología, nos esforzamos por la excelencia profesional y dejamos una marca. Tomamos el futuro en nuestras manos. Somos TÜV SÜD.

Área de trabajo: Automotive & Traffic Safety

País/región: España

Ubicación de trabajo: Barcelona

Modelo de trabajo: Híbrido

Tipo de empleo: Tiempo completo / regular

Compañía: TUV SUD ATISAE VTV S.A.

ORG UNIT CODE: CPSC

ID de solicitud de puesto: 3942",
"Data Scientist
Data Scientist with verification",Skyscanner,"Barcelona, Cataluña, España (Híbrido)",https://www.linkedin.com/jobs/view/4380482093/,4380482093,,"Acerca del empleo
About Skyscanner

Everyone loves travelling, but planning is not without its challenges. That's why we've spent 20 years building tools that turn travel-planning chaos into a breeze. Today, around 160 million travellers count on us every month to skip the whole “47 browser tabs open” phase and find flights, cars, and hotels quickly and easily.

Joining Skyscanner means becoming part of a global brand that's striving to become the planet's go-to travel hack accessible for all.

Our vision? To be the world's number one travel ally. (Ambitious? Yes, but, hey, that's what got us here.)

About The Role

(Hybrid)

 Powering better decisions: You’ll join our Decision Tooling team — the folks building the statistical and machine learning systems that help Skyscanner teams make smarter calls, faster.
 Making the complex feel clear: From forecasting demand to detecting anomalies and evaluating experiments, you’ll help build reliable, interpretable systems people can actually trust — and act on.
Raising the bar, together: You’ll own well-defined components of larger modelling systems, while helping level up modelling standards across the team (think: quality, robustness, and “this will still work next quarter”).

What You’ll Be Doing

 Building decision-grade models: You will design and deliver ML and statistical systems that directly power real business decisions across Skyscanner.
 Turning ambiguity into frameworks: You will translate messy, open-ended problems into clear modelling approaches and crisp assumptions.
 Forecasting & anomaly detection: You will build and validate forecasting and anomaly detection solutions that spot issues early.
 Experimentation tooling: You will develop experimentation solutions that help teams evaluate change with confidence and clarity.
 Defining robust evaluation: You will set up backtesting, monitoring, and evaluation strategies that prove models are working — and keep them honest over time.
 Embedding into production workflows: You will partner closely with Engineering and Product to integrate models into production systems and day-to-day decision-making.
Owning meaningful components: You will take ownership of well-scoped parts of larger systems and contribute to improving modelling standards across the team.

About You

 Production-tested: You have 2+ years’ experience as a Data Scientist working in a production environment.
Applied ML experience: You’ve worked on real-world machine learning or applied data science problems (bonus points if you have worked on experimentation and casual inference).
Strong fundamentals: You bring solid foundations in statistics, machine learning, or quantitative analysis, and, you know when to use which tool.
Hands-on with Python & SQL: You’re comfortable building in Python and querying data with SQL.
Team-friendly engineer mindset: You’re familiar with collaborative development practices like version control and code review.
Structured problem-solver: You can take an ambiguous problem, break it down methodically, and move it forward without needing a perfect brief.
Thoughtful evaluator: You care about robust evaluation, including fairness and reliability considerations.

What It's Like Here

We are the real deal — no corporate gloss, no empty promises. Just a team of genuinely curious, caring humans, building things that help travellers explore the world a little easier.

Skyscanner is made up of brilliant humans from every corner of the world. We believe travel makes the world better - and that the same is true of our diverse teams. We're proud to be an equal opportunities employer and are committed to building an inclusive workplace where everyone can thrive and products that are accessible to all.

Sound like your kind of adventure? Apply now and help us shape the future of travel.

We're committed to ensuring our application and recruitment processes are inclusive and accessible to everyone. If you require any reasonable adjustments or accommodations for interviews, and/or wish to apply under the Disability Confident scheme, please let your recruiter know. If you’d like more information on any of our policies, such as hybrid working or Parental Leave policies (typically we pay a minimum of 24 weeks birth parent/maternity leave globally), our recruitment team can provide more information on these.",
